51300015740,fda,299,217
51300055719,agf,84,272
51300083492,ecg,108,187
51300092344,bbd,83,283
51300107523,dbd,212,83
51300116995,dec,79,57
51300148098,gee,43,91
51300155435,gcb,197,105
51300165940,geb,95,225
51300192983,age,231,55
51300199891,fea,235,196
51300218374,abc,66,131
51300236951,aeg,106,232
51300253775,fgg,262,291
51300259021,bcd,45,182
51300297816,eeg,90,143
51300434600,afa,130,45
51300496933,feb,56,205
51300539515,ade,50,191
51300554804,gdc,253,108
51300566759,cgb,114,271
51300584302,gcb,9,98
51300610175,gcd,299,283
51300672596,cfg,65,204
51300747169,cae,152,157
51300783480,gbf,264,42
51300816705,gag,49,291
51300864789,edd,223,253
51300878833,dfg,55,111
51300896595,dga,51,218
51300958920,ffd,159,160
51300966558,bdd,76,127
51300978845,fbg,282,273
51301014617,bbb,219,192
51301028101,ece,214,145
51301035167,gcb,83,113
51301078654,efb,114,88
51301094279,ffg,101,295
51301128973,edf,219,240
51301133214,ada,183,291
51301151060,gfc,251,212
51301180173,efc,247,83
51301224117,efe,299,139
51301257615,fga,144,180
51301274806,beb,239,93
51301323573,aaf,26,198
51301345255,eae,269,245
51301366945,edb,41,238
51301390523,acf,10,163
51301425634,gdf,128,85
51301454153,edd,273,215
51301462229,eea,273,130
51301475980,cec,188,137
51301482795,agb,231,86
51301497650,fdb,89,192
51301534870,bgf,92,72
51301545338,add,79,270
51301630986,geg,30,204
51301642189,bcb,279,29
51301654075,ged,271,275
51301655448,dfe,126,12
51301667232,fca,225,170
51301682403,fcg,212,295
51301701357,dad,15,202
51301706632,aff,87,79
51301714650,aad,160,118
51301718949,daf,209,191
51301783744,gbc,164,103
51301792079,cfc,7,143
51301793385,gfg,36,34
51301797664,aff,23,89
51301838436,fdd,136,125
51301898939,deb,170,186
51301910593,gba,167,106
51301921144,fdc,294,47
51301971629,geg,215,195
51301986607,cfg,213,165
51302017245,abd,292,233
51302027718,cba,271,66
51302048790,gdc,115,104
51302063827,fec,256,242
51302111545,fff,287,34
51302115870,gdb,148,57
51302128560,dgb,275,139
51302134421,aea,132,273
51302204178,ecc,104,32
51302217453,ead,295,198
51302247336,bag,107,237
51302250260,bag,38,282
51302310568,bcg,18,298
51302333630,fee,252,53
51302353579,aaa,219,80
51302355123,ffc,107,279
51302364341,baa,155,191
51302400901,dbe,205,60
51302406638,ggg,159,253
51302414383,bag,67,284
51302415171,ccf,44,46
51302443555,ffa,272,228
51302518372,bfa,57,279
51302567134,aeg,244,257
51302596106,fbf,250,206
51302625873,ggd,230,118
51302629100,fgc,49,231
51302640647,bdc,120,107
51302658989,bfe,288,262
51302662606,dac,16,15
51302663588,beg,9,188
51302675356,fbe,163,179
51302678750,abd,47,260
51302681781,afd,246,176
51302695978,dcd,155,259
51302707854,gbd,5,29
51302727425,dde,52,298
51302766689,fea,281,192
51302787290,bdb,200,80
51302847665,ece,37,118
51302855908,bbf,48,257
51302858632,bac,274,70
51302860804,bdc,149,127
51302873642,ggd,162,105
51302874321,gbb,62,231
51302900307,gfd,44,131
51302904708,bbc,104,53
51302929041,acd,200,103
51302932282,bab,288,40
51302949751,efa,117,88
51302979138,ddf,231,54
51302985901,ebc,147,103
51302997891,ddg,30,257
51303043528,cba,254,59
51303047546,ffg,241,274
51303081605,aeb,247,244
51303100851,fcg,277,280
51303111978,fad,46,34
51303153656,edf,1,230
51303155649,bcb,210,24
51303175123,cca,40,256
51303212597,ebb,14,117
51303235525,gcd,118,260
51303252266,gfe,288,209
51303292628,eea,43,119
51303309563,fdb,57,207
51303311469,edd,107,204
51303342853,cfd,117,52
51303344525,gdb,172,60
51303345755,gff,129,62
51303346801,bcg,1,318
51303354692,aac,100,139
51303414481,ddb,196,204
51303422064,gdf,201,75
51303437166,ffa,286,193
51303445004,ebe,45,206
51303449384,abb,180,36
51303508196,dfd,249,171
51303509025,eeg,241,124
51303517284,dac,22,15
51303520349,fbg,284,319
51303540201,caf,157,58
51303638662,aaa,190,68
51303673128,cde,107,266
51303707847,gba,107,109
51303708375,ecd,255,74
51303739896,ddc,105,110
51303792791,bce,265,232
51303798548,edf,20,227
51303804259,ecf,81,189
51303826632,ggf,291,151
51303853840,eef,257,118
51303854970,bde,56,277
51303861092,bbf,44,228
51303930657,aef,73,53
51303971781,abe,96,138
51303981219,gab,55,147
51303988028,bef,248,266
51304021893,faf,6,201
51304026446,afb,298,161
51304036393,efb,40,73
51304042935,fcc,68,40
51304076260,eaa,117,174
51304078046,ega,296,166
51304087611,caa,44,223
51304110804,fba,83,200
51304201313,gcb,150,108
51304274104,abf,279,209
51304279571,bcd,159,207
51304280104,gaf,188,291
51304343581,eec,192,122
51304401427,fdd,285,112
51304408934,gad,68,169
51304425728,egb,261,83
51304480480,beb,85,82
51304531200,ddg,285,246
51304538119,fcf,74,249
51304540251,fee,245,45
51304586903,fcb,289,15
51304614759,gbe,32,189
51304638275,bag,16,295
51304642975,cee,188,153
51304643076,bba,187,226
51304778615,geb,162,213
51304803110,bbf,88,264
51304820095,aef,48,44
51304884174,efa,181,92
51304888094,dgd,152,168
51304909049,fda,262,188
51304968189,efc,54,79
51304977475,aae,24,19
51304978171,ffb,49,297
51304991758,dfc,256,105
51305011082,gaa,121,150
51305048961,cdg,4,111
51305077595,fag,162,112
51305113907,bbb,260,180
51305135820,aad,236,135
51305140881,gee,67,77
51305187141,agd,216,287
51305190167,eea,106,101
51305200274,gfb,23,233
51305211150,eef,36,119
51305215091,egf,287,267
51305217922,ecb,49,196
51305233181,fdf,46,144
51305261528,fgb,24,112
51305264228,fdc,221,44
51305276362,ffd,100,182
51305287773,egb,27,78
51305291035,dfb,187,108
51305301914,acc,2,21
51305308191,dfb,48,96
